neighbourhood,neighbourhood_oe
RONCHETTO SUL NAVIGLIO,712
长宁区 / Changning District,713
Sydney ,714
Malibu,715
Inner Richmond,716
Botafogo,717
Haight Ashbury,718
Alenquer (Santo Estvo e Triana),719
Commune de Genève,720
2e Arrondissement,721
Oostelijk Havengebied - Indische Buurt,722
Koloa-Poipu,723
Puna,724
Shibuya Ku,725
ΙΛΙΣΙΑ,726
Moss Park,727
Ward E (councilmember James Solomon),728
Ward 57,729
TIBALDI,730
Hastings-Havelock North Ward,731
New City,732
Studio City,733
Le Bouscat,734
Neapolis – Sykeon,735
Brigittenau,736
Tarzana,737
el Poble Sec,738
Valderice,739
Vallorbe,740
Mascali,741
Paquetá,742
"Brightwood Park, Crestwood, Petworth",743
Deyá,744
Pau,745
Werd,746
Beacon Hill-Cyrville,747
Palacio,748
Glen Eira,749
North Shore Oahu,750
Willowdale East,751
Greenwich,752
Flushing,753
Fort Lauderdale,754
City of Saint John,755
Pantelleria,756
Pulsano,757
BUENOS AIRES - VENEZIA,758
Carcavelos e Parede,759
Villeray-Saint-Michel-Parc-Extension,760
South Dublin,761
Bang Khen,762
Greenwood,763
Piave 1860,764
Bgles,765
78744,766
Boerum Hill,767
Busselton ,768
San Nicolas,769
Ηρακλείου,770
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,771
Central & Western,772
Westend,773
Bispebjerg,774
Neuköllner Mitte/Zentrum,775
Phra Nakhon,776
LAMBRATE,777
Neue Kantstraße,778
Western Addition,779
Mid-Western Regional ,780
Sellwood-Moreland Improvement League,781
Porto Cesareo,782
Pat,783
East Hollywood,784
Narragansett,785
Langford,786
"Dupont Circle, Connecticut Avenue/K Street",787
Phasi Charoen,788
Marsala,789
EL BOTANIC,790
Σύμης (Symi),791
Colares,792
City of Mesquite,793
Evere,794
So Vicente,795
Κισσάμου,796
Santa Coloma de Farners,797
Graniti,798
78741,799
Fernieside and Moredun South,800
Caudran,801
Loop,802
Hobart,803
Baker,804
Saratoga,805
Balvanera,806
Marvila,807
Amager Vest,808
LORENTEGGIO,809
Wexford/Maryvale,810
Piedmont,811
South Chicago,812
Holy Cross,813
Osloer Straße,814
Crown Heights,815
Carver,816
ΘΗΣΕΙΟ,817
Bankstown,818
Φαιστού,819
el Parc i la Llacuna del Poblenou,820
DENMARK,821
Le Sud-Ouest,822
Schwabing-West,823
el Putxet i el Farró,824
Montreux,825
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,826
Kita Ku,827
Bilbao,828
Lihue,829
"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",830
Arlac,831
Bega Valley ,832
"Brookland, Brentwood, Langdon",833
Ota Ku,834
Parkviertel,835
Tanglin,836
Banyule,837
Fraser Coast ,838
Licata,839
la Dreta de l'Eixample,840
Cassà de la Selva,841
Otumoetai-Pyes Pa Ward,842
City of Tshwane,843
Untergiesing-Harlaching,844
Palais-Bourbon,845
Estrela,846
Banyoles,847
la Marina de Port,848
Saint-Josse-ten-Noode,849
Malvern Ward,850
St. Hanshaugen,851
SAFRANAR,852
Uskudar,853
Dorchester,854
Allston,855
Gagliano del Capo,856
L'Amoreaux,857
Yarra ,858
Sutherland Shire,859
Bangkok Noi,860
Pasadena,861
Annex,862
Exposition Park,863
La Tour-de-Peilz,864
Tusa,865
Anjou,866
Pelmo Park-Humberlea,867
Dollard-des-Ormeaux,868
Paia-Haiku,869
Entrevías,870
San Carlo all'Arena,871
Laranjeiras,872
Saanich,873
Bay Village,874
GOSNELLS,875
Trinity East and The Dudleys,876
Santa Margalida,877
Rosedale,878
Alexanderplatz,879
Campanet,880
Minor,881
Kagithane,882
Kimmage-Rathmines LEA-6,883
Sillery,884
Northwest District,885
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,886
Van Nuys,887
Parque das Naes,888
Norrmalms,889
North Capitol Hill,890
Isolotto Legnaia,891
Santa Teresa,892
Leonidas,893
Leichhardt,894
门头沟区 / Mentougou,895
Pacific Heights,896
Avvocata,897
"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",898
Santanyí,899
Waianae,900
Palo Alto,901
Fiumefreddo di Sicilia,902
San Isidro,903
Artà,904
Σητείας,905
Jomacha-Lomita,906
Douglas,907
High Park North,908
Noosa ,909
Stillorgan LEA-6,910
Bakirkoy,911
Leblon,912
Chirignago,913
Sariyer,914
les Corts,915
Trafalgar,916
Clinton Hill,917
Zona Industriale,918
Palma di Montechiaro,919
Covina,920
Eastchester,921
青浦区 / Qingpu District,922
Gaziosmanpasa,923
Singapore River,924
Belize Mainland,925
Spongano,926
Uggiano la Chiesa,927
Conamara North LEA-4,928
Loma Portal,929
James Bay,930
Sant Gervasi - Galvany,931
Partinico,932
Cadaqués,933
Ewa,934
Scicli,935
Tossa de Mar,936
North Hills,937
Adelfas,938
Lighthouse Point,939
Santa Clara,940
Escher Wyss,941
Castrignano del Capo,942
Hoboken - Noord,943
Este,944
Woodside,945
Anoka,946
Read Blvd East,947
Modica,948
78701,949
Chopera,950
NAVIGLI,951
Ñuñoa,952
Conversano,953
Kapaa-Wailua,954
Waitematā and Gulf Ward,955
Chelsea,956
Prenzlauer Berg Südwest,957
Vieux-Québec/Cap-Blanc/Colline parlementaire,958
Monserrat,959
Praha 6,960
São Mamede de Infesta e Senhora da Hora,961
Ä¶Ä«psala,962
Niagara,963
Briarwood,964
Carretera de Cadiz,965
Birchcliffe-Cliffside,966
Pomona,967
Burbank,968
South Tabor,969
Hobsons Bay,970
Kingston,971
Skarpnäcks,972
Melbourne ,973
Rancho Palos Verdes,974
Goya,975
Tiergarten Süd,976
Cascais e Estoril,977
Gaskill,978
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",979
XV Cassia/Flaminia,980
Simancas,981
Mid-Cambridge,982
Salve,983
City of North Las Vegas,984
Pankow Süd,985
Near North Side,986
Kenton,987
Agrigento,988
嘉定区 / Jiading District,989
OyÃ³n,990
Umraniye,991
San Lorenzo XXV Aprile,992
EN CORTS,993
S. CRISTOFORO,994
Potrero Hill,995
S. SIRO,996
Maria de la Salut,997
Riposto,998
XXII MARZO,999
Comitini,1000
Blacktown,1001
Mattapan,1002
Penha de Frana,1003
Dorsoduro,1004
Pukehīnau/Lambton Ward,1005
Pittwater ,1006
la Guineueta,1007
Miramar,1008
Ardwick,1009
TORREFIEL,1010
la Teixonera,1011
Veglie,1012
Lak Si,1013
ΚΕΡΑΜΕΙΚΟΣ,1014
EL MERCAT,1015
Brasa,1016
IJburg - Zeeburgereiland,1017
Sol,1018
São Conrado,1019
Meadows and Southside,1020
Avondale,1021
Brunnenstr. Süd,1022
Trepuzzi,1023
Friedenau,1024
Kingsbridge,1025
River,1026
Hounslow,1027
Northampton,1028
Boca,1029
Bury District,1030
Saint-Sauveur,1031
Hondarribia,1032
Moabit West,1033
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,1034
South Perth ,1035
Prospect-Lefferts Gardens,1036
Marlborough Sounds Ward,1037
Caledonia-Fairbank,1038
Bergen Beach,1039
Davie,1040
Enskede-Årsta-Vantörs,1041
"Howard University, Le Droit Park, Cardozo/Shaw",1042
28804,1043
Noe Valley,1044
Saint Augustin - Tauzin - Alphonse Dupeux,1045
Bay Terrace,1046
Warrnambool,1047
Ward 21,1048
Bagnoli,1049
Palamós,1050
Stittsville-Kanata West,1051
Rio Tinto,1052
Stonegate-Queensway,1053
"Woodridge, Fort Lincoln, Gateway",1054
South Kingstown,1055
Rosedale-Moore Park,1056
78734,1057
CLARENCE VALLEY COUNCIL,1058
Mirasierra,1059
Scorrano,1060
Mimico (includes Humber Bay Shores),1061
Overlook,1062
Moreno Mission,1063
So Domingos de Benfica,1064
Tudering-Riem,1065
EX OM - MORIVIONE,1066
Guadalupe,1067
Castiglione di Sicilia,1068
XI Arvalia/Portuense,1069
Marghera,1070
Sciacca,1071
Ahuntsic-Cartierville,1072
Pompano Beach,1073
Pendik,1074
Back Bay,1075
San Giljan,1076
Carnide,1077
Taormina,1078
VIALE MONZA,1079
Ramsey,1080
Praha 3,1081
Ericeira,1082
Lourinh e Atalaia,1083
Lo Barnechea,1084
Museo,1085
西城区,1086
Suanluang,1087
"Old Town, Princes Street and Leith Street",1088
78724,1089
Santa Marinha e São Pedro da Afurada,1090
Townsville ,1091
North Leith and Newhaven,1092
Roncesvalles,1093
Mission,1094
Kensington-Cedar Cottage,1095
la Sagrada Família,1096
Sant Andreu,1097
Verthamon,1098
Buseto Palizzolo,1099
EL CARME,1100
Ridgewood,1101
Volkspark Wilmersdorf,1102
Giralda Sur,1103
Estación Central,1104
Uccle,1105
Deans Village,1106
Mola di Bari,1107
Eysines,1108
Fieldston,1109
Centraal Station,1110
RUSSAFA,1111
Brighton,1112
Itanhangá,1113
The Shore and Constitution Street,1114
Palau-saverdera,1115
Burnage,1116
Vargem Pequena,1117
Campbelltown,1118
Catete,1119
el Turó de la Peira,1120
Ferreries,1121
Sant Martí de Provençals,1122
Bexley,1123
Kips Bay,1124
Selva,1125
GALLARATESE,1126
Ottakring,1127
Nakano Ku,1128
Karl-Marx-Allee-Süd,1129
Unincorporated Vic,1130
Alpine ,1131
Valinda,1132
La Cisterna,1133
Enfield,1134
Fuente del Berro,1135
Hadern,1136
松山區,1137
District 24,1138
Rosas,1139
Novena,1140
Brislington West,1141
San Mateo,1142
Highland Park,1143
San Pawl il-Bahar,1144
Toa Payoh,1145
Canada Bay,1146
RICHMOND VALLEY COUNCIL,1147
Praha 7,1148
Near West Side,1149
Pacifica,1150
El Segundo,1151
West Tamar,1152
Inca,1153
Whring,1154
Atasehir,1155
Valley Glen,1156
Two Bridges,1157
Vevey,1158
Rego Park,1159
Victor Harbor ,1160
Fluntern,1161
Menfi,1162
Playa Vista,1163
LA CREU DEL GRAU,1164
Nuñez,1165
Cuatro Caminos,1166
New Toronto,1167
la Font de la Guatlla,1168
SELINUNTE,1169
South Hilo,1170
Marrickville,1171
La Vall de Bianya,1172
XII Monte Verde,1173
Gold Coast ,1174
Ward 55,1175
Mornington Peninsula ,1176
Sentrum,1177
Saint-Légier-La Chiésaz,1178
West Ward,1179
Hornsby,1180
"Eastland Gardens, Kenilworth",1181
Καλυμνίων (Kalymnos),1182
University Park,1183
Easter Road and Hawkhill Avenue,1184
Sant Llorenç des Cardassar,1185
Sultanbeyli,1186
Μεγίστης (Kastellorizo),1187
78757,1188
Sant Antoni,1189
Diagonal Mar i el Front Marítim del Poblenou,1190
Mount Dennis,1191
Eastern,1192
Pozzallo,1193
Downtown Eastside,1194
Ward 101,1195
ROCKINGHAM,1196
Bang Na,1197
East Riverside,1198
South Boston Waterfront,1199
Maribyrnong,1200
Seventh Ward,1201
Weston,1202
Rancho Penasquitos,1203
District 10,1204
South Boston,1205
Didsbury West,1206
Mesagne,1207
Universiteitsbuurt,1208
Bang Kapi,1209
Roxbury,1210
Montecalvario,1211
Manduria,1212
Break O'Day ,1213
Battery Park City,1214
Balestrate,1215
Praha 10,1216
PARCO LAMBRO - CIMIANO,1217
SOUTH PERTH,1218
Dovercourt-Wallace Emerson-Junction,1219
Campo de Ourique,1220
Oakridge,1221
Atwater Village,1222
Surf Coast ,1223
Groenenhoek,1224
Burano,1225
78746,1226
Matino,1227
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1228
Αποκορώνου,1229
Merchiston and Greenhill,1230
Palms,1231
Pittwater,1232
Tiggiano,1233
松江区 / Songjiang District,1234
San Vicente,1235
District 9,1236
Leme,1237
IÄ¼Ä£uciems,1238
Carovigno,1239
Wingecarribee ,1240
Prospect Heights,1241
Ragalna,1242
Martano,1243
Manhattan Beach,1244
Emfuleni,1245
Hillside and Calton Hill,1246
STADERA,1247
Trapani,1248
el Baix Guinardó,1249
Woollahra ,1250
el Poblenou,1251
Lockleaze,1252
San Donato - San Vitale,1253
West Hills,1254
Barking and Dagenham,1255
Queluz e Belas,1256
Del Cerro,1257
Adams-Normandie,1258
Silver Lake,1259
Bogenhausen,1260
Pleasant View,1261
Tijuca,1262
Berkeley,1263
São Félix da Marinha,1264
Santa Venerina,1265
BELMONT,1266
Don Valley Village,1267
Κιμώλου (Kimolos),1268
Arcadia,1269
Zafferana Etnea,1270
Floridsdorf,1271
ROGOREDO,1272
Almagro,1273
Ward 53,1274
Talence,1275
San Cristobal,1276
Lawndale,1277
Bang Rak,1278
Yorkdale-Glen Park,1279
La Glacire,1280
Beato,1281
East Harlem,1282
Midwood,1283
Buitenveldert - Zuidas,1284
Avenidas Novas,1285
Maroondah ,1286
Villa Park,1287
Ward 77,1288
顺义区 / Shunyi,1289
Gavinana Galluzzo,1290
Capitol Hill,1291
Capeyron,1292
Aravaca,1293
Ward 63,1294
ΚΥΨΕΛΗ,1295
Algueiro-Mem Martins,1296
Canidelo,1297
GIAMBELLINO,1298
Jefferson Park,1299
PADOVA,1300
Predore,1301
East Gippsland ,1302
Humaitá,1303
Tam O'Shanter-Sullivan,1304
ALBANY,1305
Favaro,1306
Pacífico,1307
Hacienda Heights,1308
West University Heights,1309
Regent Park,1310
Concourse,1311
Blue Mountains ,1312
Rudolfsheim-Fnfhaus,1313
Far North,1314
CABANYAL-CANYAMELAR,1315
Gravesend,1316
West Town,1317
San Gil,1318
78737,1319
Spandau Mitte,1320
Ward 105,1321
SARPI,1322
Ashfield,1323
78703,1324
